node_id,lat,lon,trips,cell_row,cell_col
0,40.75486842569785,-73.97522564273417,1390863,5,4
1,40.74504934443898,-73.98514872762918,1031950,4,3
2,40.75545874109403,-73.98511840788355,967333,5,3
3,40.76471478074738,-73.98417122325037,966749,6,3
4,40.7536415929702,-73.9930538296158,880383,5,2
5,40.7454841805409,-73.99379923759223,879230,4,2
6,40.763225319935344,-73.97510881731712,838365,6,4
7,40.76464145637735,-73.96541795308899,824853,6,5
8,40.77529006106686,-73.95522143722387,804198,7,6
9,40.735278306146505,-73.9856061938409,725455,3,3
10,40.73534056460827,-73.99449347846391,676865,3,2
11,40.72505571259496,-73.99513170125955,588884,2,2
12,40.745809351061226,-73.97606109995854,585054,4,4
13,40.735040331735696,-74.00427721893709,583312,3,1
14,40.74392596484654,-74.00459011371403,543647,4,1
15,40.77484079122233,-73.98374868591745,536159,7,3
16,40.7252267418689,-73.98588247042002,521644,2,3
17,40.78520644446581,-73.97552882738816,489891,8,4
18,40.7837993880402,-73.95472110309105,475731,8,6
19,40.756422449545916,-73.96650936203257,470685,5,5
20,40.766300754382655,-73.95586528504244,465635,6,6
21,40.72525881593682,-74.00433791543908,443223,2,1
22,40.774218406291105,-73.96299886037802,439812,7,5
23,40.76388854143441,-73.99434731828032,326221,6,2
24,40.71579779616852,-74.00623336348951,292956,1,1
25,40.714365246892505,-74.01363965786715,274591,1,0
26,40.775587109865,-73.94727365080213,244390,7,7
27,40.79369998678092,-73.97310767156571,235427,9,4
28,40.70589185903493,-74.01365800957856,215620,0,0
29,40.79492372096619,-73.96629929152266,201230,9,5
30,40.70647946717119,-74.00685267621543,199034,0,1
31,40.776250987106955,-73.97758823783862,185300,7,4
32,40.7169809625696,-73.99485864994382,174487,1,2
33,40.753752174671355,-74.0030509280658,174178,5,1
34,40.80399934980743,-73.96521185422672,168901,10,5
35,40.783976199857364,-73.94708144985728,159075,8,7
36,40.78236075996569,-73.98155839962652,152200,8,3
37,40.735906527595965,-73.97733222629874,152081,3,4
38,40.71740475978993,-73.98700760535121,104078,1,3
39,40.78577855168557,-73.9664506522558,91140,8,5
40,40.726051891874526,-73.97791493730249,87819,2,4
41,40.804621534279015,-73.95540041918716,78361,10,6
42,40.79457587108525,-73.94482472792336,74380,9,7
43,40.8049743851174,-73.94543797427971,53413,10,7
44,40.814177107528565,-73.95567608520231,47193,11,6
45,40.76095020767923,-74.00212860388815,46092,6,1
46,40.79409656962838,-73.95322048871435,44443,9,6
47,40.80421639396133,-73.93780156982147,43513,10,8
48,40.79585625033969,-73.93630944457615,41955,9,8
49,40.71488918931835,-73.95590725312435,41899,1,6
50,40.77213770052037,-73.99114620859177,34884,7,2
51,40.71436929891417,-73.96338679409256,34627,1,5
52,40.72234469236196,-74.01051540024699,33128,2,0
53,40.82543264411566,-73.94577854511932,30480,12,7
54,40.81464629706277,-73.94424411084297,29997,11,7
55,40.83487014331201,-73.94432588271611,25703,13,7
56,40.82315286304754,-73.95306860797399,25395,12,6
57,40.74513908555514,-73.95542675638315,23571,4,6
58,40.812406905544336,-73.961599008694,21623,11,5
59,40.72443050930544,-73.95495879677726,19429,2,6
60,40.71451087345677,-73.9454751676333,19351,1,7
61,40.71662888865176,-73.97789779266463,17043,1,4
62,40.85392682566011,-73.93544527716061,15867,15,8
63,40.84579117094429,-73.93730997750035,15251,14,8
64,40.81437273753901,-73.93755495029538,15214,11,8
65,40.84256175084358,-73.94199348158213,14186,14,7
66,40.7330774735278,-73.95509391694557,13208,3,6
67,40.72417447846189,-73.9455208383697,13048,2,7
68,40.75434392995536,-73.93581060992416,13001,5,8
69,40.70221411381622,-73.9873866757223,12707,0,3
70,40.75296360294783,-73.94264987092772,12364,5,7
71,40.746945644551644,-73.94500920625745,10475,4,7
72,40.70605199313477,-73.94450654952149,9728,0,7
73,40.703662188996404,-73.99318078061873,9630,0,2
74,40.758858207526394,-73.95833939490204,9567,5,6
75,40.707386791769345,-73.95507474432475,9422,0,6
76,40.7642438729587,-73.93328272798958,9323,6,8
77,40.749114565013315,-73.96930459661378,8379,4,5
78,40.82435187303854,-73.93791553694737,7671,12,8
79,40.76582765512678,-73.94736661835593,6449,6,7
80,40.7080529987308,-73.96390760773114,6031,0,5
81,40.70526872801734,-73.93525751393554,5613,0,8
82,40.745932032167076,-73.93534521626344,5331,4,8
83,40.83531452477051,-73.93743789356125,3276,13,8
84,40.80084777523614,-73.97099093796253,2919,10,4
85,40.713774476445906,-73.93689565939455,2852,1,8
86,40.73256355537807,-74.01034147129161,2602,3,0
