o,d,h,mean_min,n,mean_km
1,1002,7,4.664414414414415,37.0,1.0112744594594596
1,1002,8,5.007037037037037,45.0,0.8604604533333333
1,1002,9,5.823931623931624,39.0,0.7955916717948719
1,1003,8,4.4923758865248224,94.0,1.0087480085106382
1,1003,9,4.999193548387097,62.0,0.969237993548387
1,1003,12,5.251515151515152,33.0,0.9665793575757576
1,1003,14,5.303240740740741,36.0,1.1564896055555554
1,1003,17,4.4371794871794865,39.0,1.0848602205128206
1,2000,8,6.4322580645161285,31.0,1.4281594645161289
1,2000,20,5.159166666666667,40.0,1.3808137200000001
1,2001,11,6.307777777777778,30.0,1.3459446866666664
1,2001,12,6.8083333333333345,48.0,1.4953450833333335
1,2001,13,6.631699346405229,51.0,1.3931835490196078
1,2001,14,5.808333333333334,36.0,1.308035788888889
1,2001,15,6.527777777777778,39.0,1.4079661743589742
1,2001,17,7.890624999999999,32.0,1.3649214874999998
1,2001,18,6.4360215053763445,31.0,1.3632667225806452
1,2001,19,5.654411764705882,34.0,1.3172921235294117
1,2001,20,6.279444444444445,30.0,1.5674971599999998
1,2002,12,9.918627450980393,34.0,1.6315867588235293
1,2002,13,9.366666666666667,32.0,1.3976112062500001
1,2002,14,7.698989898989899,33.0,1.298688612121212
1,2002,15,7.5666666666666655,30.0,1.4060267133333333
1,2002,16,7.868055555555555,36.0,1.476122411111111
1,2002,17,8.301515151515153,33.0,1.5215578181818183
1,2002,18,7.530476190476189,35.0,1.4953067657142858
1,2002,20,5.389473684210526,38.0,1.329823052631579
1,2002,21,5.719318181818181,44.0,1.3876899909090907
1,2003,8,6.262878787878788,44.0,1.4308495636363636
1,2003,17,7.4833333333333325,32.0,1.7612214625
1,2007,8,8.528645833333334,32.0,2.67904818125
1,3001,8,9.469940476190475,56.0,1.7852178714285714
1,3001,9,9.614761904761904,35.0,1.7813094742857143
1,3001,11,8.972592592592592,45.0,1.7949505466666664
1,3001,12,8.092635658914729,43.0,1.958155088372093
1,3001,13,8.764634146341464,41.0,1.8695820536585366
1,3001,14,8.99611111111111,30.0,1.9719779466666665
1,3001,15,9.365714285714288,35.0,2.05673652
1,3001,17,10.024537037037037,36.0,1.94327805
1,3001,18,8.592635658914729,43.0,1.866460134883721
1,3001,19,8.02878787878788,44.0,1.9527877863636365
1,3001,20,6.702380952380952,35.0,1.8433840171428573
1,3002,20,7.174786324786326,39.0,1.9122260410256406
1,3004,12,13.641145833333335,32.0,2.19524034375
1,3004,13,13.181707317073169,41.0,2.6134111512195117
1,3004,14,12.809863945578233,49.0,2.5926795836734695
1,4007,13,14.586979166666666,32.0,5.6859993875
1,4007,18,13.123039215686275,34.0,4.782106476470589
1,4007,19,12.537142857142856,35.0,4.94389248
1,5006,18,14.800537634408604,31.0,5.213223316129031
1,5007,19,14.681770833333335,32.0,5.366645981250001
1,5008,19,11.922777777777778,30.0,5.499651226666667
1,10007,14,24.796078431372546,34.0,8.475541776470589
1,10007,17,23.405555555555555,30.0,8.44581632
1,10009,19,14.162121212121212,33.0,8.153501654545455
1,11005,11,24.86842105263158,38.0,7.041709521052631
1,11005,12,22.962745098039218,34.0,7.038022488235292
1,11005,13,22.230341880341882,39.0,7.212319107692307
1,11005,14,22.861788617886177,41.0,6.997096302439025
1,11005,15,22.889666666666667,50.0,6.878962896000001
1,11005,16,23.954421768707483,49.0,7.286697395918366
1,11005,17,21.55,39.0,6.859502261538462
1,11005,18,21.501315789473683,38.0,6.930749763157894
1,11009,8,21.383333333333333,30.0,8.707602293333334
1,11009,10,19.03697916666667,32.0,8.63964120625
1,11009,11,16.817222222222224,30.0,8.679707066666667
1,11009,12,17.475,36.0,8.845558494444443
1,11009,14,19.894871794871793,39.0,8.762237323076922
1,11009,15,21.303472222222222,48.0,8.811136499999998
1,11009,16,21.118217054263567,43.0,8.706903665116279
1,11009,17,17.322357723577234,41.0,8.65903424390244
1,11009,18,16.231693989071037,61.0,8.654555632786884
1,11009,19,13.704074074074075,45.0,8.706171768888888
1,11009,20,13.016666666666666,42.0,8.74063208095238
1,11009,21,12.741935483870968,31.0,8.811915212903225
1,11010,9,20.122043010752687,31.0,8.422039619354837
1,11010,10,17.005913978494622,31.0,8.77920927096774
1,11010,12,18.33787878787879,33.0,8.804552836363634
1,11010,13,13.666176470588237,34.0,8.528081994117645
1,11010,14,17.44953703703704,36.0,8.411930772222222
1,11010,15,19.938571428571425,35.0,8.540537474285713
1,12006,15,28.366161616161612,33.0,8.04279856969697
1,12006,16,30.64369369369369,37.0,7.766152891891891
1,12006,17,28.18137254901961,34.0,8.130007011764704
1,12007,15,28.8640350877193,38.0,9.360006142105263
1,12007,16,27.02095238095238,35.0,9.273936702857146
1,12008,15,27.301801801801805,37.0,9.458134675675675
1,12008,16,26.481944444444444,36.0,9.154909405555554
1,12008,17,28.005913978494622,31.0,9.267721832258065
1,12009,14,25.41145833333333,32.0,9.363844206249999
1,12010,13,20.0515503875969,43.0,9.351013930232558
1,12010,14,22.09455782312925,49.0,9.416281183673469
1,12010,15,23.487745098039216,34.0,9.35594542352941
1,12010,16,24.926960784313724,34.0,9.341745364705885
1,13007,15,31.11535087719298,38.0,8.78911395263158
1,13007,16,31.960294117647056,34.0,8.8111365
1,13008,14,28.77111111111111,30.0,9.437706206666666
2,1,9,3.5489247311827956,31.0,0.7273178516129031
2,2000,8,8.535294117647059,34.0,1.9018612117647058
2,2001,8,7.007777777777778,60.0,1.9684910433333336
2,2001,9,8.675925925925927,36.0,2.04788515
2,2001,10,6.324242424242424,33.0,1.8726865454545454
2,2002,17,7.658119658119658,39.0,1.327086523076923
2,2002,18,6.784999999999999,30.0,1.2676234733333334
2,3001,7,7.337719298245615,57.0,2.3403191684210527
2,3001,8,8.457446808510639,47.0,2.352718114893617
2,3001,9,10.086666666666668,35.0,2.498615302857143
2,3001,11,8.599999999999998,33.0,2.315498884848485
2,3001,12,8.731182795698926,31.0,2.3833806258064514
2,3001,17,11.124479166666669,32.0,2.3360575937499997
2,3001,18,9.31021505376344,31.0,2.252037716129032
2,4002,6,6.943840579710144,46.0,3.0811863869565217
2,4002,9,11.825806451612904,31.0,3.1880506258064516
2,11005,14,22.40147058823529,34.0,7.256230058823529
2,11009,8,22.244444444444447,36.0,8.133872583333334
2,11009,14,17.82777777777778,42.0,8.539464580952382
2,11009,15,19.857264957264956,39.0,8.519185717948718
2,11009,16,21.437106918238992,53.0,8.459662716981132
2,11009,17,16.78494623655914,62.0,8.637743093548387
2,11009,18,16.08830845771144,67.0,8.473775600000002
2,11009,19,14.113333333333333,50.0,8.506327504
2,11009,20,13.13169934640523,51.0,8.494475188235294
2,11010,9,17.070476190476192,35.0,8.169469651428571
2,12010,6,14.138750000000002,40.0,8.619625039999999
2,12010,8,21.84722222222222,42.0,8.684688357142857
2,13010,7,19.81919191919192,33.0,9.269798399999999
2,13010,8,25.566228070175438,38.0,9.290550415789474
1000,1,8,5.275136612021857,61.0,1.0086076754098359
1000,1,9,5.38731884057971,46.0,0.9376154782608697
1000,2,8,6.863333333333333,35.0,1.60934
1000,2,9,7.017156862745098,34.0,1.6240133941176471
1000,1002,7,6.1537037037037035,36.0,1.4993684333333333
1000,1002,8,8.220772946859904,69.0,1.7658424840579712
1000,1002,9,9.584018264840184,73.0,1.559516597260274
