o,d,km,tau_min,tau_max,tau_bar,ratio,profiles
6,2,1.6576201915740967,3.3583333492279053,14.600000381469727,10.666666984558105,4.3473944664001465,44
19,12,1.609339952468872,2.7083334922790527,10.833333015441895,5.349999904632568,3.999999761581421,46
15,4,2.7358779907226562,4.183333396911621,16.350000381469727,11.416666984558105,3.9083666801452637,42
8,7,1.6898070573806763,2.5166666507720947,9.75,6.933333396911621,3.8741722106933594,47
10,2,2.7358779907226562,4.633333206176758,17.549999237060547,11.883333206176758,3.7877697944641113,45
19,9,3.057745933532715,4.758333206176758,17.65833282470703,9.316666603088379,3.711033344268799,41
5,6,2.88071870803833,4.9666666984558105,18.383333206176758,12.433333396911621,3.7013423442840576,46
3,5,2.542757272720337,4.4166669845581055,16.299999237060547,11.350000381469727,3.690565586090088,48
14,4,1.770274043083191,3.133333206176758,11.466666221618652,6.349999904632568,3.659574508666992,48
10,6,3.8624160289764404,6.2833333015441895,22.933334350585938,15.416666984558105,3.649867534637451,41
6,1,2.4140100479125977,4.4166669845581055,16.049999237060547,11.583333015441895,3.6339619159698486,46
14,23,2.7358779907226562,4.633333206176758,16.741666793823242,8.483333587646484,3.613309383392334,44
22,2,3.3796141147613525,6.650000095367432,23.950000762939453,18.200000762939453,3.601503849029541,34
3,2,1.4484059810638428,3.5333333015441895,12.725000381469727,9.083333015441895,3.6014151573181152,48
12,4,1.9312080144882202,4.916666507720947,17.266666412353516,10.649999618530273,3.511864423751831,48
5,4,1.4484059810638428,3.2333333492279053,11.341667175292969,6.800000190734863,3.5077321529388428,48
22,0,2.4140100479125977,4.4083333015441895,15.449999809265137,12.083333015441895,3.504725933074951,38
24,2,5.294728755950928,7.550000190734863,26.424999237060547,19.299999237060547,3.499999761581421,39
13,4,2.5266637802124023,4.483333110809326,15.649999618530273,8.683333396911621,3.490706443786621,48
12,0,1.351845622062683,2.816666603088379,9.783333778381348,6.316666603088379,3.4733729362487793,48
33,2,2.092142105102539,5.650000095367432,19.5,10.966666221618652,3.451327323913574,38
18,2,4.586618900299072,8.024999618530273,27.424999237060547,20.933332443237305,3.417445659637451,32
0,2,1.2874720096588135,3.7249999046325684,12.675000190734863,9.050000190734863,3.4026846885681152,48
19,2,2.1082353591918945,5.5,18.691665649414062,12.366666793823242,3.398484706878662,45
5,2,1.6576201915740967,3.4833333492279053,11.75,8.350000381469727,3.3732056617736816,48
22,6,1.770274043083191,3.4666666984558105,11.641666412353516,9.183333396911621,3.35817289352417,39
0,3,1.770274043083191,4.599999904632568,15.383333206176758,10.283333778381348,3.344202995300293,48
7,0,1.544966459274292,3.200000047683716,10.666666984558105,7.150000095367432,3.3333334922790527,48
5,0,2.4140100479125977,5.066666603088379,16.883333206176758,11.350000381469727,3.3322367668151855,48
