driver,group,archetype,target_hours,online_hours,n_shifts,home_node
0,full-time,evening,52.0,51.25,6,80
1,part-time,day,19.0,19.0,6,3
2,full-time,evening,49.0,49.0,6,20
3,part-time,night,19.0,19.0,3,15
4,part-time,evening,15.0,15.0,5,13
5,full-time,evening,46.0,43.08333333333333,5,7
6,part-time,evening,14.0,14.0,3,46
7,full-time,day,54.0,54.0,6,8
8,part-time,morning,20.0,20.0,4,0
9,full-time,day,53.0,53.0,6,3
10,part-time,night,11.0,11.0,2,2
11,part-time,morning,17.0,17.0,3,28
12,part-time,day,16.0,16.0,5,28
13,part-time,morning,18.0,18.0,3,19
14,full-time,night,54.0,47.666666666666664,7,4
15,part-time,day,12.0,12.0,2,14
16,part-time,day,8.0,8.0,2,35
17,part-time,night,14.0,14.0,3,24
18,part-time,morning,11.0,11.0,3,9
19,full-time,evening,43.0,40.0,4,8
20,part-time,day,11.0,11.0,2,3
21,full-time,day,47.0,47.0,6,35
22,full-time,evening,42.0,40.0,4,6
23,full-time,evening,52.0,51.83333333333333,7,29
24,part-time,morning,8.0,8.0,1,0
25,part-time,night,19.0,19.0,6,4
26,part-time,day,11.0,11.0,3,12
27,full-time,evening,42.0,41.166666666666664,6,66
28,full-time,night,51.0,44.75,7,32
29,full-time,night,52.0,45.916666666666664,6,20
30,part-time,evening,19.0,19.0,4,11
31,full-time,day,54.0,54.166666666666664,7,22
32,full-time,evening,44.0,40.666666666666664,5,0
33,full-time,day,50.0,50.0,6,8
34,part-time,day,8.0,8.0,2,19
35,part-time,night,18.0,18.0,4,34
36,part-time,day,16.0,16.0,4,18
37,part-time,day,20.0,20.0,3,4
38,full-time,evening,42.0,36.0,4,19
39,part-time,evening,17.0,17.0,3,2
40,full-time,evening,47.0,46.416666666666664,6,25
41,part-time,evening,8.0,8.0,2,1
42,part-time,morning,14.0,14.0,3,20
43,part-time,evening,10.0,10.0,2,29
44,full-time,evening,47.0,47.08333333333333,5,37
45,full-time,evening,42.0,38.916666666666664,5,8
46,full-time,day,49.0,49.0,5,2
47,part-time,day,17.0,17.0,5,0
48,part-time,evening,17.0,18.0,6,3
49,part-time,day,17.0,17.0,4,19
50,full-time,morning,48.0,48.0,6,16
51,full-time,morning,46.0,46.0,6,22
52,part-time,evening,17.0,16.833333333333332,5,9
53,part-time,evening,17.0,16.916666666666664,5,16
54,part-time,day,15.0,15.0,3,6
55,full-time,evening,50.0,49.0,6,22
56,part-time,evening,18.0,18.0,4,7
57,full-time,day,51.0,51.0,6,0
58,part-time,evening,15.0,15.0,4,49
59,part-time,day,20.0,20.0,5,83
60,full-time,evening,53.0,53.08333333333333,7,22
61,part-time,day,15.0,15.0,3,3
62,full-time,evening,52.0,50.166666666666664,6,32
63,part-time,evening,8.0,8.0,2,74
64,part-time,night,8.0,8.0,2,26
65,part-time,day,8.0,8.0,2,16
66,part-time,day,9.0,9.0,2,18
67,part-time,evening,19.0,19.166666666666664,5,4
68,part-time,morning,19.0,18.916666666666664,5,22
69,full-time,day,51.0,50.0,5,11
70,full-time,day,47.0,47.0,6,6
71,part-time,day,14.0,14.0,3,6
72,full-time,night,42.0,37.83333333333333,5,29
73,part-time,evening,16.0,16.0,4,40
74,part-time,night,17.0,17.0,3,13
75,part-time,night,14.0,10.833333333333332,4,1
76,part-time,night,8.0,8.0,2,1
77,part-time,day,14.0,14.0,3,37
78,part-time,morning,12.0,12.0,3,6
79,part-time,morning,12.0,12.0,3,0
80,full-time,day,42.0,40.0,4,1
81,part-time,day,19.0,19.0,5,26
82,part-time,evening,15.0,15.0,3,6
83,part-time,evening,9.0,9.0,2,20
84,part-time,evening,8.0,8.0,2,18
85,part-time,evening,17.0,17.0,3,5
86,full-time,evening,55.0,54.916666666666664,7,39
87,part-time,morning,15.0,15.0,3,5
88,part-time,evening,20.0,20.0,4,14
89,part-time,morning,8.0,8.0,2,50
90,part-time,day,13.0,13.0,3,85
91,part-time,day,17.0,17.0,3,55
92,part-time,evening,9.0,9.0,2,38
93,full-time,evening,55.0,52.58333333333333,6,1
94,part-time,evening,17.0,17.0,4,71
95,part-time,morning,20.0,20.0,6,10
96,part-time,morning,13.0,13.0,3,7
97,part-time,evening,9.0,9.0,2,1
98,full-time,evening,46.0,46.0,6,3
99,part-time,day,13.0,13.0,3,61
100,full-time,evening,44.0,43.916666666666664,5,28
101,part-time,night,14.0,14.0,3,47
102,full-time,evening,55.0,53.416666666666664,6,19
103,part-time,day,13.0,13.0,3,19
104,part-time,evening,16.0,16.0,3,82
105,full-time,morning,41.0,41.0,6,29
106,part-time,evening,8.0,8.0,2,6
107,part-time,day,10.0,10.0,2,20
108,full-time,morning,40.0,40.0,5,9
109,part-time,night,18.0,18.0,6,1
110,part-time,evening,18.0,18.0,3,6
111,part-time,morning,17.0,17.0,4,8
112,full-time,morning,50.0,50.0,5,68
113,full-time,day,41.0,41.0,6,82
114,full-time,evening,42.0,40.5,5,11
115,part-time,evening,16.0,16.0,3,17
116,full-time,night,45.0,37.58333333333333,6,1
117,full-time,morning,40.0,40.0,4,84
118,full-time,morning,44.0,44.0,5,17
119,part-time,morning,12.0,12.0,2,23
120,part-time,evening,11.0,11.0,3,21
121,full-time,day,44.0,40.0,4,74
122,part-time,morning,18.0,18.0,3,12
123,part-time,morning,17.0,17.0,3,59
124,part-time,day,13.0,13.0,3,5
125,part-time,evening,16.0,16.0,3,5
126,part-time,evening,17.0,17.0,3,7
127,part-time,evening,18.0,18.0,4,4
128,full-time,night,51.0,51.0,6,7
129,full-time,night,50.0,50.0,5,2
130,full-time,night,43.0,34.416666666666664,5,7
131,part-time,day,18.0,18.0,4,84
132,full-time,day,52.0,52.0,6,18
133,part-time,morning,10.0,10.0,2,0
134,part-time,morning,16.0,16.0,3,4
135,part-time,morning,20.0,20.0,5,20
136,part-time,evening,14.0,14.0,3,68
137,full-time,evening,48.0,47.08333333333333,7,38
138,part-time,day,9.0,9.0,2,30
139,part-time,day,13.0,13.0,4,4
140,full-time,evening,49.0,46.666666666666664,6,0
141,part-time,day,9.0,9.0,2,29
142,full-time,evening,48.0,48.0,6,11
143,part-time,evening,17.0,17.0,4,18
144,part-time,morning,12.0,12.0,2,2
145,full-time,evening,50.0,49.83333333333333,7,56
146,full-time,morning,47.0,47.0,6,42
147,full-time,day,49.0,49.0,5,13
148,full-time,day,45.0,45.0,6,18
149,part-time,morning,8.0,9.0,3,23
150,full-time,evening,49.0,49.0,7,9
151,part-time,morning,13.0,13.0,3,6
152,part-time,evening,17.0,17.0,5,3
153,part-time,day,19.0,19.0,5,20
154,part-time,night,18.0,16.5,5,0
155,part-time,evening,15.0,15.0,4,0
156,part-time,day,11.0,11.0,3,2
157,full-time,evening,49.0,49.0,6,35
158,full-time,day,43.0,43.0,5,45
159,part-time,evening,8.0,8.0,2,0
160,full-time,evening,43.0,43.0,6,0
161,full-time,day,48.0,48.0,6,2
162,full-time,morning,43.0,43.08333333333333,5,30
163,part-time,evening,10.0,10.0,2,23
164,part-time,day,15.0,15.0,3,8
165,full-time,evening,46.0,44.416666666666664,5,14
166,part-time,day,10.0,10.0,2,15
167,full-time,day,44.0,44.08333333333333,5,9
168,part-time,day,8.0,8.0,1,26
169,part-time,night,9.0,9.0,2,4
170,full-time,evening,44.0,42.5,5,4
171,part-time,day,14.0,14.0,3,10
172,full-time,day,49.0,49.0,5,36
173,part-time,night,20.0,18.166666666666664,4,9
174,full-time,day,49.0,49.0,5,6
