method,total_utility,n_assigned,service_rate,mean_utility,min_utility,max_utility,fairness_total_var,fairness_normalised,gini_total,rate_mean,rate_min,rate_max,rate_var,rate_var_within,rate_var_between,rate_normalised,gini_rate,rate_full_time,rate_part_time,rate_group_ratio,util_mean,util_min,util_max,util_var,util_var_within,util_var_between,util_normalised,gini_util,util_full_time,util_part_time,util_adj_var,util_adj_min,util_adj_max,n_drivers,n_idle_drivers,hours_total,variant,seed
Kang et al. (totals) [distance],11035.992601454258,4967,0.7650955021565004,55.17996300727129,0.0,104.52840477228165,555.1254204051266,0.4269865082214292,0.24491407909838614,2.571713672970282,0.0,10.561344112668719,1.6373152429713635,1.1431486733538927,0.4941665696174711,0.4975577997172287,0.2586933343313367,1.67378729988553,3.1220556435706137,1.8652642685149603,0.36195510343728643,0.0,0.7291666666666666,0.014784133122238538,0.01201448064456587,0.0027696524776726662,0.3359256976837063,0.18587753229176096,0.29473228979416743,0.40315618276694004,0.3046416379356904,0.0,4.835488283066047,200,1,5260.0,distance,
Ours (Gap 1+2) [distance],10864.535951435566,4805,0.7401417128773875,54.32267975717783,7.03410804271698,162.7101736664772,1548.146044877974,0.7243104951285355,0.3939546938969412,2.0319177755298785,0.4281825602054596,3.3108455032110213,0.37540351738600974,0.3743498383049446,0.0010536790810652234,0.3015386867799265,0.17202430862363505,2.0733805372076604,2.006505115146722,0.967745707620559,0.31667425785034564,0.1,0.48333333333333334,0.006663806038931544,0.006663434194931072,3.7184400047223376e-07,0.25777952104974744,0.146654329473762,0.3174531627501093,0.31619686452468415,0.11133160810642183,0.4276804877102388,2.5620939387455306,200,0,5260.0,distance,
Kang et al. (totals) [money],43638.411581754684,4967,0.7650955021565004,218.19205790877342,0.0,413.32516646385193,8679.729282032484,0.42698650721228776,0.2449140785456945,10.16904449685419,0.0,41.76156044006348,25.60043658746604,17.87383653721128,7.726600050254767,0.497557799234519,0.2586933353661674,6.618472996837402,12.34520122267093,1.865264272978074,0.36195510343728643,0.0,0.7291666666666666,0.014784133122238538,0.01201448064456587,0.0027696524776726662,0.3359256976837063,0.18587753229176096,0.29473228979416743,0.40315618276694004,0.3046416379356904,0.0,4.835488283066047,200,1,5260.0,money,
Ours (Gap 1+2) [money],42960.43947482109,4805,0.7401417128773875,214.80219737410545,27.81419801712036,643.3869326114655,24206.221123263193,0.7243104955423498,0.3939546940478369,8.034588955214046,1.6931153178215026,13.091712260246277,5.869666132671184,5.853191205770665,0.016474926900517706,0.3015386847472908,0.17202430764258408,8.198540606289352,7.9341024593937,0.9677457050474576,0.31667425785034564,0.1,0.48333333333333334,0.006663806038931544,0.006663434194931072,3.7184400047223376e-07,0.25777952104974744,0.146654329473762,0.3174531627501093,0.31619686452468415,0.11133160810642183,0.4276804877102388,2.5620939387455306,200,0,5260.0,money,
Kang et al. (paper protocol),2963.276738166809,380,0.02626304513096966,14.816383690834046,0.0,38.913840770721436,246.67624349263008,1.0600380314907907,0.5651286216950289,4.937899907999667,1.4510882298151653,10.066421826680502,4.5993677622490985,3.490966302706997,1.1084014595421026,0.4343169571395815,0.24033579929833152,4.020531895076927,6.146140705507669,1.5286884586175062,0.3282182955932956,0.0,2.0,0.14154946777947924,0.1373470789402743,0.004202388839204982,1.1462816350397742,0.6047436482547773,0.41102245707508867,0.27746735791090626,1.4065112380286397e+23,0.0,2000000000000.0,200,99,713.0,paper_protocol,
Ours (paper protocol),3362.643511891365,431,0.02978782224065243,16.813217559456824,-1.6898069381713867,95.61088943481445,539.4778669309197,1.38145258414693,0.629180426964108,4.589117322330343,-0.5632689793904623,8.067822515964508,4.202695640555854,2.833576457077319,1.369119183478535,0.4467193956184148,0.22618727978966144,3.5695505432101355,5.931961372878909,1.6618230505693392,0.28214479964479966,0.0,0.875,0.10408430355126366,0.10036485626978249,0.0037194472814812076,1.1434589294867252,0.6074109489474663,0.36004583866425977,0.23439900153609833,7.498621883382426e+22,0.0,875000000000.0,200,106,713.0,paper_protocol,
Kang et al. (totals) [seed1],11380.809931755066,5083,0.7599043205262371,56.90404965877533,6.318282842636108,95.24303078651428,536.752950507765,0.40714025613243776,0.23437781477692932,2.5729867913589555,0.40855340630400416,12.470851586415218,1.9841944080268643,1.486701127134119,0.4974932808927456,0.5474627239382333,0.26878329404788354,1.7268751171769228,3.1609627005362997,1.8304523987257446,0.3558342914881589,0.041666666666666664,0.7083333333333334,0.014708751118927908,0.011644426880874552,0.003064324238053349,0.34083179465177,0.19101571156036926,0.28942919139656714,0.4019802085009601,0.4426063097747391,0.17846485045514554,6.526450824951975,200,0,5450.833333333333,seed1,1.0
Ours (Gap 1+2) [seed1],11172.53653216362,4906,0.7334429660636866,55.8626826608181,3.863680422306061,156.90982896089554,1403.7709731410712,0.6706969651975851,0.3709098866154626,2.0364500153384055,0.4829600527882576,3.475078306700054,0.2801627953650244,0.27944123005136706,0.0007215653136573208,0.2599150791987858,0.14563636950272577,2.0686734553395425,2.0140574553376154,0.9735985397497341,0.3161934296660239,0.08333333333333333,0.46111111111111114,0.006779741817047574,0.0066548758891930345,0.00012486592785453972,0.26040764889283974,0.14453959651697595,0.3027887619829696,0.3255085377169598,0.16046317122212803,0.3831847554718902,4.738403084856157,200,0,5450.833333333333,seed1,1.0
Kang et al. (totals) [seed2],10848.455950200558,5043,0.7665298677610579,54.24227975100279,6.143002271652222,111.88078701496124,594.4944638403117,0.44950649685474353,0.2578688455427492,2.485614523693169,0.5521390125865028,8.47080789672004,1.7646489457776198,1.290586116003734,0.47406282977388536,0.5344356034801016,0.2756692028515479,1.6423504816157017,3.0477905517448134,1.8557491752591544,0.3539641124991765,0.045454545454545456,0.7083333333333334,0.016342391512964557,0.01425688482966366,0.0020855066833008968,0.3611591091033808,0.19981796825208945,0.29803326211272746,0.3912513460901425,0.21218501074920426,0.20013868371057292,3.025592279115849,200,0,5341.5,seed2,2.0
Ours (Gap 1+2) [seed2],10679.546276926994,4877,0.7412980696154431,53.39773138463497,3.5466954708099365,172.94072687625885,1465.094501031656,0.716819832903726,0.3907374366897598,1.9744707169243032,0.44333693385124207,3.458814537525177,0.3817814764719071,0.3807554720417936,0.0010260044301133972,0.3129368663947692,0.17793876890871804,2.0137008921108874,1.9483172667999136,0.9675306171005195,0.31232041612617745,0.04365079365079365,0.5,0.007294169750378721,0.007284301598779968,9.868151598751284e-06,0.27345606394282496,0.1531838403716884,0.31616778241990706,0.309755505263691,0.11447349802914486,0.16918601650320397,2.4867741503969776,200,0,5341.5,seed2,2.0
Kang et al. (totals) [seed3],10319.30814653635,4847,0.7381967712458117,51.59654073268175,0.0,106.30786859989166,655.2124706576597,0.4961014448230151,0.2812552593531825,2.3819884071881017,0.0,7.3493390001099685,1.6940286104366857,1.2848808175881785,0.40914779284850755,0.5464126270818608,0.29075108999418714,1.5820202128883183,2.893443482232225,1.828954812751489,0.3387999155034667,0.0,0.6818181818181818,0.01753699677657669,0.016595128712381793,0.0009418680641948929,0.39087178106258874,0.2154585014648811,0.3004179112012738,0.3633392297294588,0.26188133416439763,0.0,3.1088742835492065,200,4,5309.5,seed3,3.0
Ours (Gap 1+2) [seed3],10327.07862085104,4660,0.7097167225098995,51.6353931042552,0.0,169.08854883909225,1626.2374614406424,0.7809882372586961,0.4197056361893061,1.9191192083250588,0.0,3.7145886696301975,0.5495185198595931,0.5475640163573329,0.0019545035022602466,0.3862684301084937,0.2181830060933303,1.9744097494639614,1.883769518088711,0.9540924919967304,0.29727851685337364,0.0,0.5083333333333333,0.008863590291588558,0.00862778026889989,0.00023581002268867042,0.31669507599672225,0.17370733903050947,0.3164834917590702,0.28499992633989557,0.13745015099157817,0.0,2.154707356098234,200,4,5309.5,seed3,3.0
