method,total_utility,n_assigned,service_rate,mean_utility,min_utility,max_utility,fairness_total_var,fairness_normalised,gini_total,rate_mean,rate_min,rate_max,rate_var,rate_var_within,rate_var_between,rate_normalised,gini_rate,rate_full_time,rate_part_time,rate_group_ratio,util_mean,util_min,util_max,util_var,util_var_within,util_var_between,util_normalised,gini_util,util_full_time,util_part_time,util_adj_var,util_adj_min,util_adj_max,n_drivers,n_idle_drivers,hours_total,lambda_within,lambda_between,lambda_util,parity_error
A: lam_between=0.25,11010.535707890987,4847,0.746611213801602,55.05267853945494,0.0,169.42569822072983,2338.7914792479874,0.8784505061996258,0.46783882353347306,1.8201498621957801,0.0,3.569909504055977,0.47217506702755613,0.2716048208015388,0.20057024622601755,0.37752383685972696,0.20895295114263776,2.392204222559261,1.4695358993923568,0.6143020255269835,0.30692035844449306,0.0,0.5055555555555555,0.007529217651467395,0.007203326623798897,0.0003258910276684987,0.28271524586296215,0.15440494535924162,0.32997934671111445,0.2927874301520477,0.10453442254429984,0.0,1.9900611015445722,200,1,5260.0,1.0,0.25,0.25,0.38569797447301646
A: lam_between=0.5,10971.338065207005,4802,0.7396796056685151,54.85669032603502,0.0,164.05652517080307,2078.9080192549714,0.8311665091431465,0.4465630683626399,1.8743475402468288,0.0,3.4320177264980503,0.398797876083167,0.2795957340509737,0.1192021420321935,0.33691961654051217,0.18690020301465746,2.3153551426993797,1.604052558098491,0.6927889931513446,0.309965417152094,0.0,0.48214285714285715,0.006462192173356114,0.006347427494966822,0.00011476467838929447,0.2593442909831874,0.14208134890012675,0.3236492628528274,0.30157854398067674,0.09968766278430588,0.0,2.25406163321718,200,1,5260.0,1.0,0.5,0.25,0.30721100684865543
A: lam_between=1.0,10953.684803366661,4865,0.7493838570548367,54.76842401683331,0.0,182.439351439476,1950.9441607941653,0.8064773516244973,0.43395568747697383,1.9215872858539629,0.0,3.5231604411684234,0.3820092099158283,0.31347523192253757,0.06853397799329074,0.32164499669961816,0.18009332231806127,2.2559801620838007,1.7166368133259973,0.7609272644225632,0.3141207432412909,0.0,0.47549019607843135,0.007514063226858895,0.0074287755447065154,8.528768215237794e-05,0.27595661316749204,0.15435911401640973,0.32591708109122003,0.3068907297203667,0.12209681568841159,0.0,2.627008228787735,200,1,5260.0,1.0,1.0,0.25,0.2390727355774368
A: lam_between=2.0,10970.706430912018,4841,0.7456869993838571,54.85353215456009,0.24676644802093506,173.1025754213333,1797.8652833283745,0.7729901770233022,0.41743525366040934,1.9706582233008791,0.012338322401046754,3.2778912612370084,0.3388989112666333,0.30898717874237924,0.029911732524253967,0.29540903700805904,0.16612284746889347,2.1915730328223053,1.835258823916779,0.8374162286316029,0.31720773736707053,0.008333333333333333,0.625,0.007348009626494287,0.007344004277051027,4.005349443258145e-06,0.270234682258802,0.15053671081070005,0.3197641105457113,0.31564092799951654,0.1093803935267774,0.035734964658745205,2.4542313708716734,200,0,5260.0,1.0,2.0,0.25,0.16258377136839708
A: lam_between=4.0,10900.929375946522,4806,0.7402957486136784,54.50464687973261,0.0,179.36517333984375,1687.0252405757376,0.7535763493585306,0.4070375507601562,2.0001361884935394,0.0,3.4110651031349053,0.3579035087608968,0.3471924289987988,0.010711079762098046,0.2991048191685331,0.16808288489531106,2.1323329064687715,1.9191123936054935,0.9000059923961968,0.3195082446706207,0.0,0.5092592592592593,0.006964481972673396,0.0069473463593608155,1.7135613312579486e-05,0.26119348497276856,0.14474355655776303,0.31422070214776093,0.3227489965394703,0.10570504664636,0.0,2.34204544128604,200,1,5260.0,1.0,4.0,0.25,0.09999400760380317
A: lam_between=8.0,10963.65332520008,4807,0.7404497843499692,54.8182666260004,0.0,163.23852437734604,1558.3004879174614,0.7201124250764096,0.394711942290104,2.038822265494088,0.0,3.327457848142405,0.34415533608188126,0.341001963646857,0.0031533724350242404,0.2877384408823605,0.1603155853693477,2.110550754103548,1.9948596434431285,0.9451843977523492,0.3223693395930898,0.0,0.5227272727272727,0.007574947344394582,0.007462603918386635,0.00011234342600794693,0.2699827891152112,0.14779002698188712,0.3088306111169807,0.33066726994941475,0.12469124929534889,0.0,2.422438279880736,200,1,5260.0,1.0,8.0,0.25,0.05481560224765081
A: lam_between=16.0,10883.057159900665,4852,0.747381392483056,54.41528579950332,4.425418972969055,159.91048049926758,1547.2136313808012,0.7228600559122781,0.39776245751028344,2.023612929202147,0.14084742708903988,3.268097526148746,0.3637672917800326,0.36169784067571403,0.002069451104318591,0.2980467413326095,0.16806731345732567,2.081720354325057,1.9879987009010094,0.9549787495571496,0.32328662624336957,0.052845528455284556,0.5601851851851852,0.007903049413749214,0.007833274697217488,6.97747165317266e-05,0.2749853832299463,0.1537155660935166,0.3126169046653824,0.32982613301697455,0.1149421462108691,0.21917285524008157,2.161802690667272,200,0,5260.0,1.0,16.0,0.25,0.045021250442850436
B: lam_util=0.05,10863.975872397423,4846,0.7464571780653112,54.31987936198711,0.0,165.6096472144127,1484.9117921257025,0.709400567085002,0.38955970823469926,2.036072887940219,0.0,3.312192944288254,0.3718676792987063,0.3709138405048197,0.0009538387938865583,0.299502806149556,0.16753050057047125,2.075522391045944,2.0118941602302587,0.9693435102939939,0.33589959634310373,0.0,0.6296296296296297,0.011555952162528782,0.010991699555827641,0.0005642526067011363,0.32003198536358524,0.17895156796722128,0.3055578318246825,0.3544961616931039,0.17047582419139168,0.0,2.790991284069404,200,2,5260.0,1.0,16.0,0.05,0.030656489706006096
B: lam_util=0.1,10986.665638804436,4797,0.738909426987061,54.93332819402218,0.0,169.01795828342438,1603.1171986211566,0.7288643768577047,0.39881590977278997,2.048944465289156,0.0,3.411609619685582,0.4024718628119255,0.40110695908191357,0.001364903730011917,0.3096261085508059,0.17137076104330895,2.0961350172150666,2.0200212237861783,0.9636885063205455,0.3237675852111079,0.0,0.5654761904761905,0.00951268486802022,0.009315418593242891,0.00019726627477732744,0.30124384958762507,0.16616331363326223,0.3058272535265351,0.33476327237262005,0.13390262742114614,0.0,2.4661402332846993,200,1,5260.0,1.0,16.0,0.1,0.03631149367945452
B: lam_util=0.5,10864.535951435566,4805,0.7401417128773875,54.32267975717783,7.03410804271698,162.7101736664772,1548.146044877974,0.7243104951285355,0.3939546938969412,2.0319177755298785,0.4281825602054596,3.3108455032110213,0.37540351738600974,0.3743498383049446,0.0010536790810652234,0.3015386867799265,0.17202430862363505,2.0733805372076604,2.006505115146722,0.967745707620559,0.31667425785034564,0.1,0.48333333333333334,0.006663806038931544,0.006663434194931072,3.7184400047223376e-07,0.25777952104974744,0.146654329473762,0.3174531627501093,0.31619686452468415,0.11133160810642183,0.4276804877102388,2.5620939387455306,200,0,5260.0,1.0,16.0,0.5,0.032254292379440996
